time,nb_dead_node,nb_package
1,0,600
101,0,600
201,0,600
301,0,600
401,0,600
501,0,600
601,0,600
701,0,600
801,0,600
901,0,600
1001,0,600
1101,0,600
1201,0,600
1301,0,600
1401,0,600
1501,0,600
1601,0,600
1701,0,600
1801,0,600
1822,1,600
1901,1,600
2001,1,600
2053,2,600
2095,3,600
2101,3,600
2201,3,600
2301,3,600
2338,4,591
2401,4,591
2493,5,590
2501,5,590
2526,6,471
2601,6,471
2649,7,471
2701,7,471
2711,8,340
2801,8,340
2901,8,340
3001,8,340
3074,9,304
3101,9,304
3129,10,282
3201,10,282
3301,10,282
3401,10,282
3448,11,226
3496,12,157
3501,12,157
3501,13,199
3526,14,203
3601,14,203
3701,14,203
3801,14,203
3901,14,203
4001,14,203
4101,14,203
4201,14,203
4301,14,203
4361,15,202
4401,15,202
4501,15,202
4601,15,202
4701,15,202
4801,15,202
4901,15,202
5001,15,202
5101,15,202
5198,16,202
5201,16,202
5301,16,202
5401,16,202
5501,16,202
5601,16,202
5701,16,202
5750,17,202
5801,17,202
5901,17,202
6001,17,202
6101,17,202
6146,18,103
6201,18,103
6301,18,103
6401,18,103
6501,18,103
6601,18,103
6701,18,103
6801,18,103
6901,18,103
7001,18,103
7101,18,103
7186,19,153
7201,19,153
7201,20,153
7214,21,153
7301,21,153
7401,21,153
7501,21,153
7601,21,153
7659,22,153
7701,22,153
7801,22,153
7901,22,153
7905,23,152
8001,23,152
8008,24,57
8101,24,57
8201,24,57
8301,24,57
8401,24,57
8435,25,57
8501,25,57
8601,25,57
8633,26,57
8635,27,57
8701,27,57
8801,27,57
8901,27,57
9001,27,57
9043,28,57
9101,28,57
9194,29,11
9201,29,11
9301,29,11
9401,29,11
9501,29,11
9601,29,11
9701,29,11
9801,29,11
9901,29,11
9932,30,11
10001,30,11
10015,31,11
10101,31,11
10201,31,11
10301,31,11
10401,31,11
10501,31,11
10601,31,11
10701,31,11
10801,31,11
10901,31,11
10916,32,11
11001,32,11
11101,32,11
11201,32,11
11301,32,11
11383,33,11
11401,33,11
11501,33,11
11570,34,11
11601,34,11
11701,34,11
11707,35,11
11801,35,11
11850,36,11
11901,36,11
12001,36,11
12101,36,11
12174,37,11
12201,37,11
12241,38,11
12301,38,11
12401,38,11
12501,38,11
12601,38,11
12701,38,11
12799,39,11
12801,39,11
12897,40,11
12901,40,11
13001,40,11
13101,40,11
13166,41,11
13201,41,11
13301,41,11
13401,41,11
13501,41,11
13601,41,11
13701,41,11
13740,42,11
13764,43,11
13801,43,11
13901,43,11
14001,43,11
14101,43,11
14201,43,11
14301,43,11
14401,43,11
14501,43,11
14601,43,11
14701,43,11
14801,43,11
14901,43,11
15001,43,11
15101,43,11
15201,43,11
15273,44,11
15301,44,11
15305,45,11
15401,45,11
15501,45,11
15601,45,11
15701,45,11
15801,45,11
15901,45,11
15983,46,11
16001,46,11
16075,47,11
16076,48,11
16101,48,11
16103,49,11
16171,50,11
16201,50,11
16301,50,11
16401,50,11
16501,50,11
16552,51,11
16601,51,11
16701,51,11
16801,51,11
16901,51,11
17001,51,11
17101,51,11
17201,51,11
17301,51,11
17401,51,11
17501,51,11
17601,51,11
17701,51,11
17801,51,11
17901,51,11
18001,51,11
18101,51,11
18201,51,11
18301,51,11
18374,52,11
18401,52,11
18501,52,11
18591,53,11
18601,53,11
18701,53,11
18801,53,11
18901,53,11
19001,53,11
19101,53,11
19201,53,11
19301,53,11
19401,53,11
19501,53,11
19535,54,11
19601,54,11
19701,54,11
19801,54,11
19901,54,11
20001,54,11
20101,54,11
20201,54,11
20301,54,11
20401,54,11
20501,54,11
